alpha,time,value
0.35,11.100,486.669425
0.35,11.200,504.004448
0.35,11.300,521.956939
0.35,11.400,540.548894
0.35,11.500,559.803088
0.35,11.600,579.743111
0.35,11.700,600.393392
0.35,11.800,621.779229
0.35,11.900,643.926824
0.35,12.000,666.863310
0.45,0.000,10.000000
0.45,0.100,10.460279
0.45,0.200,10.941743
0.45,0.300,11.445368
0.45,0.400,11.972174
0.45,0.500,12.523227
0.45,0.600,13.099645
0.45,0.700,13.702593
0.45,0.800,14.333294
0.45,0.900,14.993025
0.45,1.000,15.683122
0.45,1.100,16.404982
0.45,1.200,17.160069
0.45,1.300,17.949910
0.45,1.400,18.776106
0.45,1.500,19.640330
0.45,1.600,20.544332
0.45,1.700,21.489944
0.45,1.800,22.479080
0.45,1.900,23.513744
0.45,2.000,24.596031
0.45,2.100,25.728134
0.45,2.200,26.912345
0.45,2.300,28.151062
0.45,2.400,29.446796
0.45,2.500,30.802168
0.45,2.600,32.219926
0.45,2.700,33.702941
0.45,2.800,35.254215
0.45,2.900,36.876891
0.45,3.000,38.574255
0.45,3.100,40.349746
0.45,3.200,42.206958
0.45,3.300,44.149654
0.45,3.400,46.181768
0.45,3.500,48.307416
0.45,3.600,50.530903
0.45,3.700,52.856732
0.45,3.800,55.289615
0.45,3.900,57.834477
0.45,4.000,60.496475
0.45,4.100,63.280998
0.45,4.200,66.193687
0.45,4.300,69.240441
0.45,4.400,72.427430
0.45,4.500,75.761109
0.45,4.600,79.248231
0.45,4.700,82.895858
0.45,4.800,86.711377
0.45,4.900,90.702516
0.45,5.000,94.877358
0.45,5.100,99.244360
0.45,5.200,103.812366
0.45,5.300,108.590627
0.45,5.400,113.588821
0.45,5.500,118.817071
0.45,5.600,124.285967
0.45,5.700,130.006584
0.45,5.800,135.990509
0.45,5.900,142.249861
0.45,6.000,148.797317
0.45,6.100,155.646139
0.45,6.200,162.810198
0.45,6.300,170.304003
0.45,6.400,178.142732
0.45,6.500,186.342260
0.45,6.600,194.919196
0.45,6.700,203.890909
0.45,6.800,213.275572
0.45,6.900,223.092190
0.45,7.000,233.360646
0.45,7.100,244.101737
0.45,7.200,255.337217
0.45,7.300,267.089843
0.45,7.400,279.383417
0.45,7.500,292.242838
0.45,7.600,305.694150
0.45,7.700,319.764598
0.45,7.800,334.482678
0.45,7.900,349.878200
0.45,8.000,365.982344
0.45,8.100,382.827729
0.45,8.200,400.448470
0.45,8.300,418.880256
0.45,8.400,438.160417
0.45,8.500,458.328004
0.45,8.600,479.423861
0.45,8.700,501.490715
0.45,8.800,524.573259
0.45,8.900,548.718244
0.45,9.000,573.974570
0.45,9.100,600.393392
0.45,9.200,628.028214
0.45,9.300,656.935009
0.45,9.400,687.172322
0.45,9.500,718.801393
0.45,9.600,751.886283
0.45,9.700,786.493999
0.45,9.800,822.694635
0.45,9.900,860.561508
0.45,10.000,900.171313
0.45,10.100,941.604272
0.45,10.200,984.944302
0.45,10.300,1030.279180
0.45,10.400,1077.700726
0.45,10.500,1127.304984
0.45,10.600,1179.192420
0.45,10.700,1233.468123
0.45,10.800,1290.242021
0.45,10.900,1349.629100
0.45,11.000,1411.749639
0.45,11.100,1476.729454
0.45,11.200,1544.700150
0.45,11.300,1615.799392
0.45,11.400,1690.171180
0.45,11.500,1767.966143
0.45,11.600,1849.341841
0.45,11.700,1934.463088
0.45,11.800,2023.502284
0.45,11.900,2116.639764
0.45,12.000,2214.064162
