time,prey,predator
34.900,4.187245,51.172143
35.000,3.751586,48.768374
35.100,3.393354,46.422398
35.200,3.097844,44.146106
35.300,2.853499,41.947556
35.400,2.651208,39.831884
35.500,2.483767,37.802007
35.600,2.345463,35.859172
35.700,2.231752,34.003367
35.800,2.139006,32.233646
35.900,2.064328,30.548379
36.000,2.005401,28.945436
36.100,1.960373,27.422338
36.200,1.927767,25.976368
36.300,1.906415,24.604658
36.400,1.895401,23.304256
36.500,1.894016,22.072176
36.600,1.901733,20.905436
36.700,1.918172,19.801089
36.800,1.943086,18.756244
36.900,1.976341,17.768084
37.000,2.017907,16.833873
37.100,2.067847,15.950970
37.200,2.126310,15.116830
37.300,2.193529,14.329011
37.400,2.269813,13.585172
37.500,2.355550,12.883077
37.600,2.451205,12.220589
37.700,2.557319,11.595676
37.800,2.674512,11.006403
37.900,2.803485,10.450932
38.000,2.945023,9.927519
38.100,3.100001,9.434514
38.200,3.269386,8.970353
38.300,3.454243,8.533559
38.400,3.655742,8.122737
38.500,3.875166,7.736573
38.600,4.113916,7.373832
38.700,4.373520,7.033351
38.800,4.655644,6.714042
38.900,4.962099,6.414887
39.000,5.294855,6.134938
39.100,5.656045,5.873314
39.200,6.047988,5.629198
39.300,6.473190,5.401843
39.400,6.934365,5.190563
39.500,7.434445,4.994739
39.600,7.976595,4.813820
39.700,8.564229,4.647318
39.800,9.201020,4.494819
39.900,9.890921,4.355980
40.000,10.638172,4.230534
40.100,11.447317,4.118300
40.200,12.323213,4.019184
40.300,13.271042,3.933193
40.400,14.296311,3.860446
40.500,15.404856,3.801185
40.600,16.602836,3.755800
40.700,17.896714,3.724847
40.800,19.293234,3.709081
40.900,20.799374,3.709491
41.000,22.422283,3.727349
41.100,24.169190,3.764265
41.200,26.047271,3.822267
41.300,28.063479,3.903893
41.400,30.224298,4.012318
41.500,32.535426,4.151504
41.600,35.001347,4.326404
41.700,37.624765,4.543222
41.800,40.405852,4.809741
41.900,43.341273,5.135752
42.000,46.422906,5.533594
42.100,49.636195,6.018847
42.200,52.958033,6.611191
42.300,56.354117,7.335451
42.400,59.775698,8.222832
42.500,63.155749,9.312264
42.600,66.404744,10.651692
42.700,69.406516,12.298951
42.800,72.015206,14.321545
42.900,74.055063,16.794243
43.000,75.325763,19.792937
43.100,75.616636,23.382985
43.200,74.732825,27.600848
43.300,72.533696,32.430031
43.400,68.977837,37.776434
43.500,64.160954,43.453198
43.600,58.327889,49.187046
43.700,51.844831,54.652781
43.800,45.134438,59.529594
43.900,38.596120,63.559900
44.000,32.541208,66.588931
44.100,27.162533,68.573778
44.200,22.538985,69.565671
44.300,18.662012,69.678496
44.400,15.468442,69.056611
44.500,12.868985,67.849756
44.600,10.768234,66.197205
44.700,9.076396,64.219897
44.800,7.714810,62.018079
44.900,6.617551,59.672154
45.000,5.730904,57.245052
45.100,5.011869,54.785086
45.200,4.426405,52.328733
45.300,3.947719,49.903090
45.400,3.554788,47.527926
45.500,3.231118,45.217344
45.600,2.963756,42.981094
45.700,2.742505,40.825598
45.800,2.559315,38.754751
45.900,2.407811,36.770533
46.000,2.282928,34.873485
46.100,2.180631,33.063069
46.200,2.097698,31.337953
46.300,2.031551,29.696223
46.400,1.980130,28.135551
46.500,1.941790,26.653320
46.600,1.915225,25.246725
46.700,1.899403,23.912846
46.800,1.893523,22.648708
46.900,1.896976,21.451322
47.000,1.909313,20.317723
47.100,1.930227,19.244990
47.200,1.959533,18.230268
47.300,1.997152,17.270784
47.400,2.043103,16.363849
47.500,2.097497,15.506873
47.600,2.160526,14.697364
47.700,2.232463,13.932934
47.800,2.313661,13.211296
47.900,2.404546,12.530267
48.000,2.505623,11.887765
48.100,2.617475,11.281809
48.200,2.740764,10.710515
48.300,2.876235,10.172097
48.400,3.024720,9.664858
48.500,3.187140,9.187194
48.600,3.364514,8.737588
48.700,3.557961,8.314606
48.800,3.768710,7.916896
48.900,3.998105,7.543186
49.000,4.247612,7.192278
49.100,4.518831,6.863051
49.200,4.813503,6.554452
49.300,5.133520,6.265500
49.400,5.480937,5.995283
49.500,5.857983,5.742954
49.600,6.267074,5.507732
49.700,6.710823,5.288902
49.800,7.192058,5.085815
49.900,7.713831,4.897886
50.000,8.279435,4.724596
50.100,8.892420,4.565498
50.200,9.556603,4.420213
50.300,10.276086,4.288438
50.400,11.055268,4.169950
50.500,11.898856,4.064613
50.600,12.811877,3.972385
50.700,13.799683,3.893329
50.800,14.867954,3.827628
50.900,16.022698,3.775598
51.000,17.270235,3.737714
51.100,18.617181,3.714632
